H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
CH2         O                       CO          H           H                       1.33E-10     0.00      0.0   10. 2500.  5 A NN
CH2         O                       HCO         H                                   5.01E-11     0.00      0.0 1200. 1812.  5 A NN
O           C2H                     CO          CH                                  1.70E-11     0.00      0.0  290. 2500.  5 A NN
CH5+        E-                      CH3         H           H                       1.96E-07    -0.52      0.0   10.  300.  5 A DR
CH3OH2+     E-                      H2CO        H2          H                       8.90E-07    -0.59      0.0   10.  300.  5 A DR
CH3OH2+     E-                      CH3         OH          H                       4.54E-07    -0.59      0.0   10.  300.  5 A DR
CH3+        H2O                     CH3OH2+                                         2.00E-12     0.00      0.0   10.  300.  5 A RA
C           C2H3+                   C3H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
H2          C2H2+                   C2H3+       H                                   1.00E-11     0.00      0.0   10.41000.  5 A IN
C           C2H4                    C3H3        H                                   3.00E-10    -0.11      0.0   15.  300.  5 A NN
H2          C2H+                    C2H2+       H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
H2          NH3+                    NH4+        H                                   3.36E-14     0.00    -35.7   10.   20.  5 B IN
H2NC+       E-                      HNC         H                                   1.80E-07    -0.50      0.0   10.  300.  5 C DR
N           CH3+                    H2NC+       H                                   6.70E-11     0.00      0.0   10.41000.  5 A IN
C           OCN                     CO          CN                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C           NO                      CN          O                                   6.00E-11    -0.16      0.0   10.41000.  5 A NN
O           NH2                     HNO         H                                   4.56E-11     0.00    -10.0  200. 3000.  5 A NN
NH4+        E-                      NH2         H           H                       3.19E-07    -0.47      0.0   12.  620.  5 A DR
NH4+        E-                      NH2         H2                                  1.52E-07    -0.47      0.0   12.  620.  5 A DR
CH3CNH+     E-                      CH2CN       H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3+        HCN                     CH3CNH+                                         9.00E-09    -0.50      0.0   10.  300.  5 C RA
CNC+        E-                      CN          C                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
C2N+        E-                      C2          N                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2N+        E-                      CN          C                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
He+         N2                      N+          N           He                      9.60E-10     0.00      0.0   10.41000.  5 A IN
H3S+        E-                      HS          H           H                       1.85E-07    -0.50      0.0   10.  300.  5 A DR
H2          HS+                     H3S+                                            2.40E-16    -0.80      0.0   10.  300.  5 C RA
HCS+        E-                      CH          S                                   7.87E-07    -0.57      0.0   10.  300.  5 A DR
H3O+        CS                      HCS+        H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
H2          CS+                     HCS+        H                                   4.50E-10     0.00      0.0   10.41000.  5 B IN
CH3+        S                       HCS+        H2                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
C+          CO2                     CO+         CO                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
H3+         CO2                     HCO2+       H2                                  2.00E-09     0.00      0.0   10.41000.  5 A IN
O           C2                      CO          C                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           CH                      C2          H                                   6.59E-11     0.00      0.0   10.  300.  5 C NN
H2+         He                      HeH+        H                                   1.30E-10     0.00      0.0   10.41000.  5 A IN
C           C3H3+                   C4H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H3+                   C4H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           H2C3H+                  C4H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           H2C3H+                  C4H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H2+                   C4H+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H2+                   C4+         H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
O           C4H2+                   C3H2+       CO                                  1.08E-10     0.00      0.0   10.41000.  5 B IN
C           C3H3                    H2CCCC      H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           CH3+                    C2H+        H2                                  1.20E-09     0.00      0.0   10.41000.  5 C IN
H2          NH2+                    NH3+        H                                   2.70E-10     0.00      0.0   10.41000.  5 A IN
N           HCO                     OCN         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           HNO                     NO          OH                                  6.00E-11     0.00      0.0   10. 2500.  5 A NN
C           CH2CN                   HC3N        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H2          N+                      NH+         H                                   1.00E-09     0.00     85.0   10.  300.  5 C IN
C           HS                      CS          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H2S+        E-                      HS          H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           HS+                     CS+         H                                   9.90E-10     0.00      0.0   10.41000.  5 C IN
O           HS+                     S+          OH                                  2.90E-10     0.00      0.0   10.41000.  5 C IN
O           HS+                     SO+         H                                   2.90E-10     0.00      0.0   10.41000.  5 C IN
H3+         S                       HS+         H2                                  2.60E-09     0.00      0.0   10.41000.  5 C IN
CH5+        S                       HS+         CH4                                 1.30E-09     0.00      0.0   10.41000.  5 C IN
C+          S                       S+          C                                   1.50E-09     0.00      0.0   10.41000.  5 C CE
CH2         S                       CS          H2                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
CH2         S                       HCS         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
SO+         E-                      S           O                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
HCO+        CS                      HCS+        CO                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
H3CS+       E-                      CS          H2          H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
O           HCS                     OH          CS                                  5.00E-11     0.00      0.0   10.  300.  5 C NN
H2          CO+                     HCO+        H                                   7.50E-10     0.00      0.0   10.41000.  5 A IN
H2          CO+                     HOC+        H                                   7.50E-10     0.00      0.0   10.41000.  5 A IN
O           HCO2+                   O2          HCO+                                1.00E-09     0.00      0.0   10.41000.  5 C IN
C           HCO2+                   CO2         CH+                                 1.00E-09     0.00      0.0   10.41000.  5 C IN
H2          C4H+                    C4H2+       H                                   1.65E-10     0.00      0.0   10.41000.  5 A IN
H2          C4+                     C4H+        H                                   3.00E-10     0.00      0.0   10.41000.  5 A IN
C           C4H2+                   C5+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C4H2+                   C5H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
C           H2CCCC                  C5H         H                                   6.50E-10     0.00      0.0   10.  300.  5 A NN
H2          NH+                     NH2+        H                                   1.28E-09     0.00      0.0   10.41000.  5 A IN
H3O+        HC3N                    HC3NH+      H2O                                 4.00E-09    -0.50      0.0   10.41000.  5 A IN
HCNH+       HC3N                    HC3NH+      HCN                                 1.70E-09    -0.50      0.0   10.41000.  5 B IN
HCNH+       HC3N                    HC3NH+      HNC                                 1.70E-09    -0.50      0.0   10.41000.  5 B IN
C+          HC3N                    C3H+        CN                                  3.25E-09    -0.50      0.0   10.41000.  5 A IN
O           H2S+                    HS+         OH                                  3.10E-10     0.00      0.0   10.41000.  5 C IN
O           H2S+                    SO+         H2                                  3.10E-10     0.00      0.0   10.41000.  5 C IN
C           H2S+                    HCS+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
H2          S+                      H2S+                                            1.00E-17    -0.20      0.0   10.  300.  5 A RA
CH4         S+                      H3CS+       H                                   3.80E-10     0.00      0.0   10.41000.  5 A IN
O           HCS                     OCS         H                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
H3CS+       E-                      H2CS        H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
H2          C5+                     C5H+        H                                   6.20E-10     0.00      0.0   10.41000.  5 A IN
C           C5H+                    C6+         H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           C5H+                    C4          HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C           C5H                     C6          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C6H2+                   C5H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
HC3NH+      E-                      HC3N        H                                   7.31E-07    -0.58      0.0   10.  300.  5 C DR
HC3NH+      E-                      C2H2        CN                                  7.20E-07    -0.58      0.0   10.  300.  5 C DR
C+          OCS                     CS+         CO                                  1.60E-09     0.00      0.0   10.41000.  5 A IN
OCS                                 S           CO                                  1.30E-17     0.00   2680.0   10.41000.  2 C CR
HCO+        OCS                     HOCS+       CO                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
H3+         OCS                     HOCS+       H2                                  1.90E-09     0.00      0.0   10.41000.  5 A IN
C+          H2CS                    CS          CH2+                                1.50E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        H2CS                    H3CS+       CO                                  1.10E-09    -0.50      0.0   10.41000.  5 C IN
H3+         H2CS                    H3CS+       H2                                  2.80E-09    -0.50      0.0   10.41000.  5 C IN
H2          C6+                     C6H+        H                                   5.40E-11     0.00      0.0   10.41000.  5 A IN
O           C4                      C3          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C3H                     C4          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C6                      C5          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C6H2+       E-                      C6          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C6H2+                   C7H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C6H2+                   C7+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
H2          C6H+                    C6H2+       H                                   1.30E-12     0.00      0.0   10.41000.  5 A IN
C           C2H2                    C3          H2                                  1.45E-10    -0.12      0.0   10.  300.  5 C NN
C           C2H2                    C3H         H                                   1.45E-10    -0.12      0.0   15.  300.  5 A NN
O           H2C3H+                  HCO+        C2H2                                2.00E-10     0.00      0.0   10.41000.  5 C IN
O           C3H3+                   HCO+        C2H2                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C2H3+       E-                      C2H2        H                                   1.45E-07    -0.84      0.0   50. 1000.  5 A DR
H2O         HOCS+                   H3O+        OCS                                 3.40E-09    -0.50      0.0   10.41000.  5 A IN
HOCS+       E-                      CS          OH                                  2.00E-07    -0.50      0.0   10.  300.  5 C DR
O           C4H                     C3H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
N           C5                      CN          C4                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
HCO+        C5                      C5H+        CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
C           C4H                     C5          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C7H+                    C8+         H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
O           C7H+                    C6          HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
H2          C7+                     C7H+        H                                   1.90E-10     0.00      0.0   10.  300.  5 C IN
C4H2+       E-                      C4H         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
C5H+        E-                      C4H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2          C8+                     C8H+        H                                   4.70E-12     0.00      0.0   10.  300.  5 C IN
H2          C8H+                    C8H2+       H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
O           C8H2+                   C7H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C           C8H2+                   C9H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C8H2+                   C9+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C7H                     C8          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
C           C9H+                    C10+        H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
O           C9H+                    C8          HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
H2          C9+                     C9H+        H                                   4.10E-11     0.00      0.0   10.  300.  5 C IN
O           C8                      C7          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C8H2+       E-                      C8          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C10+        E-                      C8          C2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C10+        E-                      C9          C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
N           C7                      CN          C6                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
HCO+        C7                      C7H+        CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
C           C6H                     C7          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
N           C9                      CN          C8                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
HCO+        C9                      C9H+        CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
C           C8H                     C9          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
C6H2+       E-                      C6H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C8H2+       E-                      C8H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H3O+        CH3OH                   CH3OH2+     H2O                                 2.50E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        CH3OH                   CH3OH2+     CO                                  2.70E-09    -0.50      0.0   10.41000.  5 A IN
H3+         CH3CHO                  CH3+        CH3OH                               1.45E-09    -0.50      0.0   10.41000.  5 A IN
CH4                                 CH2         H2                                  1.30E-17     0.00   1169.5   10.41000.  2 C CR
NH3         HCO+                    CO          NH4+                                2.20E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        CH3CN                   CH3CNH+     CO                                  4.10E-09    -0.50      0.0   10.41000.  5 A IN
HCN         HCO+                    HCNH+       CO                                  3.10E-09    -0.50      0.0  205.  565.  5 A IN
HNC         HCO+                    HCNH+       CO                                  3.10E-09    -0.50      0.0   10.41000.  5 C IN
N           NO                      N2          O                                   3.75E-11     0.00     26.0  100. 4000.  5 A NN
H2          C+                      CH2+                                            4.00E-16    -0.20      0.0   10.  300.  5 C RA
He+         CH4                     CH+         He          H2          H           2.40E-10     0.00      0.0   10.41000.  5 A IN
O           C3H                     CO          C2H                                 1.70E-11     0.00      0.0   10.  300.  5 C NN
HCO+        C3                      C3H+        CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
He+         CH4                     CH3         He          H+                      4.80E-10     0.00      0.0   10.41000.  5 A IN
C2H3+       E-                      C2H         H           H                       2.95E-07    -0.84      0.0   50. 1000.  5 A DR
H2          CH3CN+                  CH3CNH+     H                                   5.70E-10     0.00      0.0   10.41000.  5 B IN
CO          HCO2+                   CO2         HCO+                                7.80E-10     0.00      0.0   10.41000.  5 C IN
C3H3+       E-                      C3H2        H                                   7.00E-07    -0.50      0.0   10.  300.  5 B DR
O           C3H2+                   HCO+        C2H                                 2.00E-10     0.00      0.0   10.41000.  5 C IN
C3H2+       E-                      C3H         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
H2          C3H+                    C3H2+       H                                   5.20E-12     0.00      0.0   10.  300.  5 A IN
N           C3H3                    HC3N        H2                                  8.00E-11     0.00      0.0   10.  300.  5 C NN
H2          C2+                     C2H+        H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
He+         C2H2                    C2H+        He          H                       8.75E-10     0.00      0.0   10.41000.  5 A IN
O           OCN                     NO          CO                                  9.43E-11    -0.09    100.0   10. 2500.  5 A NN
CN          O2                      OCN         O                                   1.86E-11    -0.13    -40.0   13. 4526.  5 A NN
C+          CH2CN                   CH2CN+      C                                   2.00E-09    -0.50      0.0   10.  300.  5 C CE
N           HS                      NS          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
HCO+        S                       HS+         CO                                  3.30E-10     0.00      0.0   10.41000.  5 C IN
HC2S+       E-                      CS          CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
HCS+        E-                      CS          H                                   1.84E-07    -0.57      0.0   10.  300.  5 A DR
C+          C3H2                    C4H+        H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C3H2                    C4+         H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H         C2H2                    H2CCCC      H                                   1.31E-10     0.00    -25.0  143. 3400.  5 A NN
HCO+        HC3N                    HC3NH+      CO                                  4.00E-09    -0.50      0.0   10.41000.  5 A IN
S+          C3H2                    HC3S+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
H2CS+       E-                      HCS         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
H+          C5                      C5+         H                                   4.00E-09     0.00      0.0   10.  300.  5 C CE
O           C5H                     C4H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
O           C6H                     C5H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
CO          S                       OCS                                             1.60E-17    -1.50      0.0   10.  300.  5 A RA
C+          C5                      C6+                                             1.00E-09     0.00      0.0   10.  300.  5 C RA
C5H+        E-                      C5          H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
C7H+        E-                      C6H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C7H+        E-                      C7          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H+          C7                      C7+         H                                   4.00E-09     0.00      0.0   10.  300.  5 C CE
C+          C7                      C8+                                             1.00E-09     0.00      0.0   10.  300.  5 C RA
O           C7H                     C6H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
O           C8H                     C7H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
C           C6H2                    C7H         H                                   7.40E-10     0.00      0.0   10.  300.  5 A NN
C9H+        E-                      C8H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C9H+        E-                      C9          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H+          C9                      C9+         H                                   4.00E-09     0.00      0.0   10.  300.  5 C CE
C+          C9                      C10+                                            1.00E-09     0.00      0.0   10.  300.  5 C RA
H3O+        CH3CHO                  CH3CHOH+    H2O                                 3.60E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        CH3CHO                  CH3CHOH+    CO                                  3.40E-09    -0.50      0.0   10.41000.  5 A IN
CH3CHOH+    E-                      CH3CHO      H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H+          H2O                     H2O+        H                                   6.90E-09    -0.50      0.0   10.  300.  5 A CE
H+          CO2                     HCO+        O                                   3.50E-09     0.00      0.0   10.41000.  5 A IN
H2                                  H+          H           E-                      2.20E-19     0.00      0.0   10.41000.  1 C CP
N           C2H4+                   CH3CN+      H                                   3.00E-10     0.00      0.0   10.41000.  5 B IN
H3O+        C3H2                    C3H3+       H2O                                 3.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        C3H2                    C3H3+       CO                                  1.40E-09    -0.50      0.0   10.41000.  5 C IN
CH2CN+      E-                      CN          CH2                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH2CN+      E-                      HCN         CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
O           NS                      S           NO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
HC2S+       E-                      C2S         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        C2S                     HC2S+       H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        C2S                     HC2S+       CO                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
HC3S+       E-                      C2S         CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
