H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
H3+         H2S                     H3S+        H2                                  3.70E-09    -0.50      0.0   10.41000.  5 A IN
C+          H2S                     HCS+        H                                   1.40E-09    -0.50      0.0   10.41000.  5 A IN
H+          H2S                     H2S+        H                                   5.28E-09    -0.50      0.0   10.41000.  5 A CE
He+         H2S                     HS+         He          H                       4.84E-10    -0.50      0.0   10.41000.  5 A IN
CH5+        H2S                     H3S+        CH4                                 1.50E-09    -0.50      0.0   10.41000.  5 A IN
H3S+        E-                      H2S         H                                   1.85E-07    -0.50      0.0   10.  300.  5 A DR
H2          C                       CH2                                             1.00E-17     0.00      0.0   10.  300.  5 C RA
H2                                  H2+         E-                                  1.20E-17     0.00      0.0   10.41000.  1 C CP
H2          CH3+                    CH5+                                            1.30E-14    -1.00      0.0   10.  300.  5 C RA
H3+         O                       OH+         H2                                  8.40E-10     0.00      0.0   10.41000.  5 B IN
H3+         C                       CH+         H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
C           CH3+                    C2H+        H2                                  1.20E-09     0.00      0.0   10.41000.  5 C IN
O           CH5+                    H3O+        CH2                                 2.20E-10     0.00      0.0   10.41000.  5 A IN
C           O2                      CO          O                                   4.70E-11    -0.34      0.0   10.  300.  5 A NN
H3O+        E-                      O           H2          H                       5.60E-09    -0.50      0.0   10. 1000.  5 A DR
C           NO                      CN          O                                   6.00E-11    -0.16      0.0   10.41000.  5 A NN
HC2O+       E-                      C2H         O                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH5+        E-                      CH3         H           H                       1.96E-07    -0.52      0.0   10.  300.  5 A DR
He                                  He+         E-                                  6.50E-18     0.00      0.0   10.41000.  1 C CP
O           HCO                     CO2         H                                   5.00E-11     0.00      0.0   10. 2500.  5 A NN
C           HCO                     CO          CH                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C           HCO                     C2O         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
N           HCO                     OCN         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H2          C2H2+                   C2H4+                                           2.34E-14    -1.50      0.0   10.  300.  5 A RA
C5H+        E-                      C4H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
O           C2                      CO          C                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
N           CN                      N2          C                                   3.00E-10     0.00      0.0  298. 2500.  5 C NN
HC2O+       E-                      CO          C           H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
C7H+        E-                      C6H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           C2H                     C3          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C2H                     CO          CH                                  1.70E-11     0.00      0.0  290. 2500.  5 A NN
C2H3+       E-                      C2H         H           H                       2.95E-07    -0.84      0.0   50. 1000.  5 A DR
C           C2H3+                   C3H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C2H3+                   C3H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C2H3+       E-                      C2H2        H                                   1.45E-07    -0.84      0.0   50. 1000.  5 A DR
O           C2H3+                   HC2O+       H2                                  8.50E-11     0.00      0.0   10.41000.  5 B IN
H2          He+                     He          H2+                                 7.20E-15     0.00      0.0   10.  300.  5 C CE
H2          He+                     He          H+          H                       3.70E-14     0.00     35.0   10.  300.  5 C IN
H2          C+                      CH2+                                            4.00E-16    -0.20      0.0   10.  300.  5 C RA
C                                   C+          E-                                  1.30E-17     0.00    255.0   10.41000.  2 C CR
H2+         He                      HeH+        H                                   1.30E-10     0.00      0.0   10.41000.  5 A IN
H2          HeH+                    He          H3+                                 1.50E-09     0.00      0.0   10.41000.  5 A IN
H+          OH                      OH+         H                                   2.10E-09    -0.50      0.0   10.41000.  5 C CE
H+          S                       S+          H                                   1.30E-09     0.00      0.0   10.41000.  5 C CE
H+          Fe                      Fe+         H                                   7.40E-09     0.00      0.0   10.41000.  5 C CE
H+          CH2                     CH+         H2                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
H+          CH2                     CH2+        H                                   1.40E-09     0.00      0.0   10.41000.  5 C CE
H+          CH                      CH+         H                                   1.90E-09    -0.50      0.0   10.41000.  5 C CE
H+          HCO                     HCO+        H                                   9.40E-10    -0.50      0.0   10.41000.  5 C CE
H+          HCO                     CO+         H2                                  9.40E-10    -0.50      0.0   10.41000.  5 C IN
H+          HCO                     CO          H2+                                 9.40E-10    -0.50      0.0   10.41000.  5 C IN
H2                                  H+          H           E-                      2.20E-19     0.00      0.0   10.41000.  1 C CP
H2          HOC+                    HCO+        H2                                  3.80E-10     0.00      0.0   20.41000.  5 B CD
H2          CO+                     HOC+        H                                   7.50E-10     0.00      0.0   10.41000.  5 A IN
CH          N                       CN          H                                   1.66E-10    -0.09      0.0  222.  584.  5 A NN
N           C2O                     CN          CO                                  5.50E-10     0.00      0.0   10.  300.  5 C NN
C           NO                      CO          N                                   9.00E-11     0.00      0.0  300.41000.  5 A NN
N           O2H                     O2          NH                                  1.70E-13     0.00      0.0   10.  300.  5 C NN
H2CO+       O2                      O2H         HCO+                                7.70E-11     0.00      0.0   10.41000.  5 A IN
NH4+        E-                      NH2         H           H                       3.19E-07    -0.47      0.0   12.  620.  5 A DR
NH4+        E-                      NH2         H2                                  1.52E-07    -0.47      0.0   12.  620.  5 A DR
H2          NH3+                    NH4+        H                                   3.36E-14     0.00    -35.7   10.   20.  5 B IN
H2          NH2+                    NH3+        H                                   2.70E-10     0.00      0.0   10.41000.  5 A IN
H2          NH+                     NH2+        H                                   1.28E-09     0.00      0.0   10.41000.  5 A IN
H2NC+       E-                      CN          H2                                  1.80E-08    -0.50      0.0   10.  300.  5 C DR
N           CH3+                    H2NC+       H                                   6.70E-11     0.00      0.0   10.41000.  5 A IN
C           CH3                     C2H2        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C2H5+       E-                      C2H2        H2          H                       8.12E-08    -0.79      0.0   10.  300.  5 A DR
C2H5+       E-                      C2H3        H           H                       7.56E-08    -0.79      0.0   10.  300.  5 A DR
C2H5+       E-                      CH3         CH2                                 4.76E-08    -0.79      0.0   10.  300.  5 A DR
C2H5+       E-                      C2H2        H           H           H           3.64E-08    -0.79      0.0   10.  300.  5 A DR
C2H5+       E-                      C2H4        H                                   3.36E-08    -0.79      0.0   10.  300.  5 A DR
H2          CH4+                    CH5+        H                                   3.40E-11    -1.35     23.0   15.  300.  5 A IN
H           CH5+                    CH4+        H2                                  1.50E-10     0.00      0.0   10.41000.  5 A IN
CH3+        HCO                     CO          CH4+                                4.40E-10    -0.50      0.0   10.41000.  5 C IN
CH          O                       CO          H                                   6.60E-11     0.00      0.0   10. 2000.  5 A NN
C           CH                      C2          H                                   6.59E-11     0.00      0.0   10.  300.  5 C NN
CH3+        E-                      CH          H2                                  1.95E-07    -0.50      0.0   10.  300.  5 A DR
CH3+        E-                      CH          H           H                       2.00E-07    -0.40      0.0   10. 1000.  5 A DR
CH3OH2+     E-                      H2CO        H2          H                       8.90E-07    -0.59      0.0   10.  300.  5 A DR
CH3OH2+     E-                      CH3         OH          H                       4.54E-07    -0.59      0.0   10.  300.  5 A DR
CH3OH2+     E-                      CH2         H2O         H                       1.87E-07    -0.59      0.0   10.  300.  5 A DR
CH3+        H2O                     CH3OH2+                                         2.00E-12     0.00      0.0   10.  300.  5 A RA
H3O+        CH3CHO                  CH3CHOH+    H2O                                 3.60E-09    -0.50      0.0   10.41000.  5 A IN
He+         CH3CHO                  HCO         CH3+        He                      3.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          CH3CHO                  CH3CO+      CH                                  1.50E-09    -0.50      0.0   10.41000.  5 C IN
C+          CH3CHO                  CH3CHO+     C                                   1.50E-09    -0.50      0.0   10.  300.  5 C CE
CH3CHOH+    E-                      CH3CHO      H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3CNH+     E-                      CH2CN       H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2          CH3CN+                  CH3CNH+     H                                   5.70E-10     0.00      0.0   10.41000.  5 B IN
C           OCN                     CO          CN                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C2H4+                   CH3CN+      H                                   3.00E-10     0.00      0.0   10.41000.  5 B IN
H2          CN+                     HCN+        H                                   1.00E-09     0.00      0.0   10.41000.  5 A IN
CH+         N                       CN+         H                                   1.90E-10     0.00      0.0   10.41000.  5 A IN
He+         HNC                     CN+         He          H                       5.00E-10    -0.50      0.0   10.41000.  5 C IN
HCNH+       E-                      HCN         H                                   9.50E-08    -0.65      0.0   10.  300.  5 A DR
HCNH+       E-                      HNC         H                                   9.50E-08    -0.65      0.0   10.  300.  5 A DR
HCNH+       E-                      CN          H           H                       9.30E-08    -0.65      0.0   10.  300.  5 A DR
N           C4H2+                   HCNH+       C3                                  9.50E-12     0.00      0.0   10.41000.  5 B IN
H2          HCN+                    HCNH+       H                                   9.00E-10     0.00      0.0   10.41000.  5 A IN
N           C3H2+                   HCNH+       C2                                  6.60E-12     0.00      0.0   10.41000.  5 B IN
CNC+        E-                      CN          C                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
C           C4H2+                   C5+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C4H2+                   C5H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
C4H2+       E-                      C4H         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
O           C4H2+                   C3H2+       CO                                  1.08E-10     0.00      0.0   10.41000.  5 B IN
H2          C4H+                    C4H2+       H                                   1.65E-10     0.00      0.0   10.41000.  5 A IN
C           H2C3H+                  C4H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
H2          C3H+                    C3H3+                                           1.69E-12    -1.00      0.0   10.  300.  5 A RA
H2          C3H+                    H2C3H+                                          1.69E-12    -1.00      0.0   10.  300.  5 A RA
H2          C3H+                    C3H2+       H                                   5.20E-12     0.00      0.0   10.  300.  5 A IN
C2N+        E-                      C2          N                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2N+        E-                      CN          C                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
N           C2H2+                   C2N+        H2                                  7.50E-11     0.00      0.0   10.41000.  5 A IN
He+         N2                      N+          N           He                      9.60E-10     0.00      0.0   10.41000.  5 A IN
He+         N2                      N2+         He                                  6.40E-10     0.00      0.0   10.41000.  5 A CE
NH          O                       NO          H                                   1.16E-10     0.00      0.0  250. 3000.  5 A NN
C           NH                      CN          H                                   1.20E-10     0.00      0.0   10.  300.  5 C NN
H-          N                       NH          E-                                  1.00E-09     0.00      0.0   10.41000.  5 C AD
N           C2H3                    C2H2        NH                                  1.20E-11     0.00      0.0   10.  300.  5 C NN
NH3+        E-                      NH          H           H                       1.55E-07    -0.50      0.0   10.  300.  5 A DR
H3S+        E-                      HS          H           H                       1.85E-07    -0.50      0.0   10.  300.  5 A DR
H2          HS+                     H3S+                                            2.40E-16    -0.80      0.0   10.  300.  5 C RA
OH          S+                      SO+         H                                   6.10E-10    -0.50      0.0   10.41000.  5 C IN
H2          S+                      H2S+                                            1.00E-17    -0.20      0.0   10.  300.  5 A RA
Si          S+                      S           Si+                                 1.60E-09     0.00      0.0   10.41000.  5 C CE
HCO         S+                      S           HCO+                                3.60E-10    -0.50      0.0   10.41000.  5 C CE
HCO         S+                      HS+         CO                                  3.60E-10    -0.50      0.0   10.41000.  5 C IN
CH          S+                      CS+         H                                   6.20E-10    -0.50      0.0   10.41000.  5 C IN
C2H         S+                      C2S+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          S                       S+          C                                   1.50E-09     0.00      0.0   10.41000.  5 C CE
O           HS+                     S+          OH                                  2.90E-10     0.00      0.0   10.41000.  5 C IN
S                                   S+          E-                                  1.30E-17     0.00    480.0   10.41000.  2 C CR
HCS+        E-                      CH          S                                   7.87E-07    -0.57      0.0   10.  300.  5 A DR
HCS+        E-                      CS          H                                   1.84E-07    -0.57      0.0   10.  300.  5 A DR
H2          CS+                     HCS+        H                                   4.50E-10     0.00      0.0   10.41000.  5 B IN
CH3+        S                       HCS+        H2                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
C           H2S+                    HCS+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           H2S+                    HS+         OH                                  3.10E-10     0.00      0.0   10.41000.  5 C IN
O           H2S+                    SO+         H2                                  3.10E-10     0.00      0.0   10.41000.  5 C IN
N           H2S+                    NS+         H2                                  7.90E-10     0.00      0.0   10.41000.  5 C IN
H2S+        E-                      HS          H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2S+        E-                      S           H           H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
C           HS+                     CS+         H                                   9.90E-10     0.00      0.0   10.41000.  5 C IN
O           HS+                     SO+         H                                   2.90E-10     0.00      0.0   10.41000.  5 C IN
N           HS+                     NS+         H                                   7.40E-10     0.00      0.0   10.41000.  5 C IN
HS+         E-                      S           H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
H3+         S                       HS+         H2                                  2.60E-09     0.00      0.0   10.41000.  5 C IN
CH5+        S                       HS+         CH4                                 1.30E-09     0.00      0.0   10.41000.  5 C IN
HC2O+       E-                      CO          CH                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
HC2O+       E-                      C2O         H                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
He+         CO2                     CO+         O           He                      8.70E-10     0.00      0.0   10.41000.  5 A IN
H3+         CO2                     HCO2+       H2                                  2.00E-09     0.00      0.0   10.41000.  5 A IN
C+          CO2                     CO+         CO                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
H+          CO2                     HCO+        O                                   3.50E-09     0.00      0.0   10.41000.  5 A IN
CO2                                 CO          O                                   1.30E-17     0.00    854.0   10.41000.  2 C CR
He+         CO2                     CO2+        He                                  1.21E-10     0.00      0.0   10.41000.  5 A CE
He+         CO2                     CO          O+          He                      1.00E-10     0.00      0.0   10.41000.  5 A IN
O           C2O                     CO          CO                                  8.59E-11     0.00      0.0  295.  295.  5 A NN
C           C2O                     C2          CO                                  2.00E-10     0.00      0.0   10.  300.  5 C NN
C           C2H4+                   H2C3H+      H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C2H4+                   C3H2+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C2H4+       E-                      C2H2        H           H                       3.70E-07    -0.76      0.0   10.  300.  5 C DR
O           C2H4+                   CH3+        HCO                                 1.08E-10     0.00      0.0   10.41000.  5 B IN
O           C2H4+                   HCO+        CH3                                 8.40E-11     0.00      0.0   10.41000.  5 B IN
C2H4+       E-                      C2H3        H                                   6.16E-08    -0.76      0.0   10.  300.  5 C DR
C2H4+       E-                      C2H         H2          H                       5.60E-08    -0.76      0.0   10.  300.  5 C DR
C           C5H+                    C6+         H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           C5H+                    C4          HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C5H+        E-                      C5          H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
H2          C5+                     C5H+        H                                   6.20E-10     0.00      0.0   10.41000.  5 A IN
C           C4H                     C5          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C4H                     C3H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
C2H3+       E-                      C2          H           H2                      1.50E-08    -0.84      0.0   50. 1000.  5 A DR
C           C7H+                    C8+         H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
C7H+        E-                      C7          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
O           C7H+                    C6          HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C           C6H2+                   C7H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
H2          C7+                     C7H+        H                                   1.90E-10     0.00      0.0   10.  300.  5 C IN
C           C6H                     C7          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
O           C6H                     C5H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
C6H2+       E-                      C6H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H3O+        C3                      C3H+        H2O                                 2.00E-09     0.00      0.0   10.41000.  5 C IN
He+         C3                      C2          C+          He                      2.00E-09     0.00      0.0   10.41000.  5 C IN
N           C3                      CN          C2                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
H3+         C3                      C3H+        H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H+          C3                      C3+         H                                   4.00E-09     0.00      0.0   10.41000.  5 C CE
C           C2H2                    C3          H2                                  1.45E-10    -0.12      0.0   10.  300.  5 C NN
C           C3H2+                   C4H+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H2+                   C4+         H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
O           C3H2+                   HCO+        C2H                                 2.00E-10     0.00      0.0   10.41000.  5 C IN
C3H2+       E-                      C3H         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
C           C2H2                    C3H         H                                   1.45E-10    -0.12      0.0   15.  300.  5 A NN
O           H2C3H+                  HCO+        C2H2                                2.00E-10     0.00      0.0   10.41000.  5 C IN
O           C3H3+                   HCO+        C2H2                                2.00E-10     0.00      0.0   10.41000.  5 C IN
CH2         S                       HCS         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
CH2         S                       CS          H2                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
OH          S                       SO          H                                   6.60E-11     0.00      0.0  298.  298.  5 A NN
SO+         E-                      S           O                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
O           NS+                     S           NO+                                 6.10E-10     0.00      0.0   10.41000.  5 C IN
H3+         Fe                      Fe+         H2          H                       4.90E-09     0.00      0.0   10.41000.  5 C IN
C+          Fe                      Fe+         C                                   2.60E-09     0.00      0.0   10.41000.  5 C CE
CH3+        Fe                      Fe+         CH3                                 2.40E-09     0.00      0.0   10.41000.  5 C CE
Fe                                  Fe+         E-                                  1.30E-17     0.00    750.0   10.41000.  2 A CR
HCO+        Fe                      Fe+         HCO                                 1.90E-09     0.00      0.0   10.41000.  5 C CE
Fe+         E-                      Fe                                              3.70E-12    -0.65      0.0   10.  300.  5 C RR
H-          Fe+                     Fe          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H2          CO+                     HCO+        H                                   7.50E-10     0.00      0.0   10.41000.  5 A IN
CH+         O                       CO+         H                                   3.50E-10     0.00      0.0   10.41000.  5 A IN
C+          OH                      CO+         H                                   7.70E-10    -0.50      0.0   10.41000.  5 C IN
He+         HCO                     CO+         He          H                       4.90E-10    -0.50      0.0   10.41000.  5 C IN
C           O2+                     CO+         O                                   5.20E-11     0.00      0.0   10.41000.  5 C IN
He+         H2CO                    CO+         He          H2                      1.88E-09    -0.50      0.0   10.41000.  5 A IN
H2CO+       E-                      CO          H           H                       5.00E-07    -0.50      0.0   10.  300.  5 C DR
H2CO+       E-                      HCO         H                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3+        O                       H2CO+       H                                   4.00E-11     0.00      0.0   10.41000.  5 A IN
