H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
C+          CO2                     CO+         CO                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
He+         CO2                     CO+         O           He                      8.70E-10     0.00      0.0   10.41000.  5 A IN
H3+         CO2                     HCO2+       H2                                  2.00E-09     0.00      0.0   10.41000.  5 A IN
CO2                                 CO          O                                   1.30E-17     0.00    854.0   10.41000.  2 C CR
CH3+        O                       HCO+        H2                                  4.00E-10     0.00      0.0   10.41000.  5 A IN
CH          O                       HCO+        E-                                  2.00E-11     0.44      0.0   10. 1750.  5 B CI
O           C5H+                    C4          HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C           H3O+                    HCO+        H2                                  1.00E-11     0.00      0.0   10.41000.  5 C IN
O           C3H2+                   HCO+        C2H                                 2.00E-10     0.00      0.0   10.41000.  5 C IN
O           C6H2+                   C5H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
O           C7H+                    C6          HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
O           H2C3H+                  HCO+        C2H2                                2.00E-10     0.00      0.0   10.41000.  5 C IN
O           C8H2+                   C7H         HCO+                                2.00E-10     0.00      0.0   10.41000.  5 C IN
H+          H2O                     H2O+        H                                   6.90E-09    -0.50      0.0   10.  300.  5 A CE
C+          H2O                     HOC+        H                                   1.80E-09    -0.50      0.0   10.41000.  5 A IN
H2O         HCO+                    CO          H3O+                                2.50E-09    -0.50      0.0   10.41000.  5 B IN
CH5+        H2O                     H3O+        CH4                                 3.70E-09    -0.50      0.0   10.41000.  5 A IN
H2O         H2CO+                   HCO         H3O+                                2.60E-09    -0.50      0.0   10.41000.  5 A IN
C+          H2O                     HCO+        H                                   9.00E-10    -0.50      0.0   10.41000.  5 A IN
H3+         H2O                     H3O+        H2                                  5.90E-09    -0.50      0.0   10.41000.  5 A IN
H2O         F                       HF          OH                                  1.40E-11     0.00      0.0  240.  380.  5 A NN
H3O+        E-                      H2O         H                                   1.08E-07    -0.50      0.0   10. 1000.  5 A DR
H3O+        HCN                     HCNH+       H2O                                 3.80E-09    -0.50      0.0   10.41000.  5 A IN
H3O+        HNC                     HCNH+       H2O                                 4.00E-09    -0.50      0.0   10.41000.  5 C IN
H2O2                                OH          OH                                  1.30E-17     0.00    750.0   10.41000.  2 A CR
H2CO        O2H                     H2O2        HCO                                 3.30E-12     0.00   5870.0  300. 2500.  5 A NN
N           O2H                     O2          NH                                  1.70E-13     0.00      0.0   10.  300.  5 C NN
H2CO+       O2                      O2H         HCO+                                7.70E-11     0.00      0.0   10.41000.  5 A IN
CH          CH3OH                   CH3         H2CO                                2.49E-10    -1.93      0.0  298.  753.  5 A NN
H3O+        CH3OH                   CH3OH2+     H2O                                 2.50E-09    -0.50      0.0   10.41000.  5 A IN
H+          CH3OH                   H3CO+       H2                                  3.84E-09    -0.50      0.0   10.41000.  5 B IN
C+          CH3OH                   HCO         CH3+                                2.08E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        CH3OH                   CH3OH2+     CO                                  2.70E-09    -0.50      0.0   10.41000.  5 A IN
He+         CH3OH                   OH          CH3+        He                      1.10E-09    -0.50      0.0   10.41000.  5 C IN
CH3OH2+     E-                      CH3OH       H                                   2.67E-08    -0.59      0.0   10.  300.  5 A DR
H3+         CH3CHO                  CH3+        CH3OH                               1.45E-09    -0.50      0.0   10.41000.  5 A IN
O           H2CO                    CO          OH          H                       1.00E-10     0.00      0.0 1750. 2575.  5 A NN
CH3         O                       H2CO        H                                   1.30E-10     0.00      0.0   10. 2500.  5 A NN
H3CO+       E-                      H2CO        H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
CH          CH4                     C2H4        H                                   1.05E-10    -1.04     36.0   23.  300.  5 A NN
H+          CH4                     CH3+        H2                                  2.30E-09     0.00      0.0   10.41000.  5 A IN
H+          CH4                     CH4+        H                                   1.50E-09     0.00      0.0   10.41000.  5 A CE
C+          CH4                     C2H3+       H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
He+         CH4                     CH2+        He          H2                      9.50E-10     0.00      0.0   10.41000.  5 A IN
CH3+        CH4                     C2H5+       H2                                  1.20E-09     0.00      0.0   10.41000.  5 A IN
C+          CH4                     C2H2+       H2                                  4.00E-10     0.00      0.0   10.41000.  5 A IN
He+         CH4                     CH3         He          H+                      4.80E-10     0.00      0.0   10.41000.  5 A IN
H3+         CH4                     CH5+        H2                                  2.40E-09     0.00      0.0   10.41000.  5 A IN
CH4                                 CH2         H2                                  1.30E-17     0.00   1169.5   10.41000.  2 C CR
He+         CH4                     CH+         He          H2          H           2.40E-10     0.00      0.0   10.41000.  5 A IN
CH4         C4H2+                   C5H5+       H                                   5.00E-10     0.00      0.0   10.41000.  5 C IN
CH4         C6H2+                   C7H5+       H                                   8.00E-10     0.00      0.0   10.41000.  5 C IN
C           CH5+                    CH4         CH+                                 1.20E-09     0.00      0.0   10.41000.  5 C IN
NH3         H3O+                    NH4+        H2O                                 2.20E-09    -0.50      0.0   10.41000.  5 A IN
H+          NH3                     NH3+        H                                   3.70E-09    -0.50      0.0   10.41000.  5 A CE
NH3         CN                      HCN         NH2                                 3.41E-11    -0.90     -9.9   25.  761.  5 B NN
C+          NH3                     H2NC+       H                                   1.75E-09    -0.50      0.0   10.41000.  5 A IN
NH3         HCO+                    CO          NH4+                                2.20E-09    -0.50      0.0   10.41000.  5 A IN
He+         NH3                     NH2+        He          H                       1.76E-09    -0.50      0.0   10.41000.  5 A IN
NH3         CN                      NH2CN       H                                   1.38E-11    -1.14      0.0   10.  300.  5 C NN
NH3         CH5+                    NH4+        CH4                                 2.50E-09    -0.50      0.0   10.41000.  5 A IN
H3+         NH3                     NH4+        H2                                  4.39E-09    -0.50      0.0   10.41000.  5 A IN
C+          NH3                     NH3+        C                                   5.06E-10    -0.50      0.0   10.41000.  5 A CE
CH3+        NH3                     CH4N+       H2                                  1.30E-09    -0.50      0.0   10.41000.  5 A IN
NH3         H2CO+                   HCO         NH4+                                1.28E-09    -0.50      0.0   10.41000.  5 A IN
NH3         C2H3+                   C2H2        NH4+                                2.50E-09    -0.50      0.0   10.41000.  5 A IN
CH          NH3                     CH2NH       H                                   1.69E-10    -0.41     19.0   23. 1300.  5 B NN
NH4+        E-                      NH3         H                                   1.05E-06    -0.47      0.0   12.  620.  5 A DR
H3O+        CH3CN                   CH3CNH+     H2O                                 4.70E-09    -0.50      0.0   10.41000.  5 A IN
H+          CH3CN                   CH3CN+      H                                   8.40E-09    -0.50      0.0   10.41000.  5 B CE
C+          CH3CN                   C2H3+       CN                                  5.60E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        CH3CN                   CH3CNH+     CO                                  4.10E-09    -0.50      0.0   10.41000.  5 A IN
H+          CH3CN                   CH3+        HCN                                 3.00E-09    -0.50      0.0   10.41000.  5 B IN
H3+         CH3CN                   CH3CNH+     H2                                  1.05E-08    -0.50      0.0   10.41000.  5 B IN
He+         CH3CN                   CN          CH3+        He                      1.20E-09    -0.50      0.0   10.41000.  5 C IN
CH3CNH+     E-                      CH3CN       H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3+        HCN                     CH3CNH+                                         9.00E-09    -0.50      0.0   10.  300.  5 C RA
C+          HCN                     CNC+        H                                   3.10E-09    -0.50      0.0   10.41000.  5 A IN
H+          HCN                     HCN+        H                                   1.05E-08    -0.13      0.0  205.  565.  5 A CE
HCN         HCO+                    HCNH+       CO                                  3.10E-09    -0.50      0.0  205.  565.  5 A IN
He+         HCN                     CN+         He          H                       1.46E-09    -0.50      0.0   10.41000.  5 A IN
H3+         HCN                     HCNH+       H2                                  8.10E-09    -0.50      0.0   10.41000.  5 A IN
He+         HCN                     N           C+          He          H           7.75E-10    -0.50      0.0   10.41000.  5 A IN
HCN         H2CO+                   HCO         HCNH+                               1.40E-09    -0.50      0.0   10.41000.  5 A IN
N           HCO                     HCN         O                                   1.70E-10     0.00      0.0   10.  300.  5 C NN
C+          HNC                     C2N+        H                                   3.10E-09    -0.50      0.0   10.41000.  5 C IN
HNC         HCO+                    HCNH+       CO                                  3.10E-09    -0.50      0.0   10.41000.  5 C IN
H3+         HNC                     HCNH+       H2                                  8.10E-09    -0.50      0.0   10.41000.  5 C IN
CN          HNC                     NCCN        H                                   2.00E-10     0.00      0.0   10.41000.  5 C NN
HNC         H2CO+                   HCO         HCNH+                               1.40E-09    -0.50      0.0   10.41000.  5 C IN
HNC         C2H3+                   HCNH+       C2H2                                2.90E-09    -0.50      0.0   10.41000.  5 C IN
He+         HNC                     CN+         He          H                       5.00E-10    -0.50      0.0   10.41000.  5 C IN
C           HN2+                    N2          CH+                                 1.10E-09     0.00      0.0   10.41000.  5 C IN
O           HN2+                    N2          OH+                                 1.40E-10     0.00      0.0   10.41000.  5 A IN
HN2+        E-                      NH          N                                   6.40E-07    -0.51      0.0   10.  300.  5 A DR
H2          N2+                     HN2+        H                                   2.00E-09     0.00      0.0   10.41000.  5 A IN
H3+         N2                      HN2+        H2                                  1.80E-09     0.00      0.0   10.41000.  5 A IN
H3O+        H2S                     H3S+        H2O                                 1.90E-09    -0.50      0.0   10.41000.  5 A IN
H+          H2S                     H2S+        H                                   5.28E-09    -0.50      0.0   10.41000.  5 A CE
He+         H2S                     S+          He          H2                      3.61E-09    -0.50      0.0   10.41000.  5 A IN
C+          H2S                     HCS+        H                                   1.40E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        H2S                     H3S+        CO                                  1.60E-09    -0.50      0.0   10.41000.  5 B IN
H+          H2S                     HS+         H2                                  9.90E-10    -0.50      0.0   10.41000.  5 A IN
C+          H2S                     H2S+        C                                   6.00E-10    -0.50      0.0   10.41000.  5 A CE
CH3+        H2S                     H3CS+       H2                                  1.30E-09    -0.50      0.0   10.41000.  5 A IN
H3+         H2S                     H3S+        H2                                  3.70E-09    -0.50      0.0   10.41000.  5 A IN
CH5+        H2S                     H3S+        CH4                                 1.50E-09    -0.50      0.0   10.41000.  5 A IN
H3S+        E-                      H2S         H                                   1.85E-07    -0.50      0.0   10.  300.  5 A DR
He+         HF                      F+          H           He                      1.10E-08    -0.50      0.0   10.41000.  5 A IN
C+          HF                      CF+         H                                   7.20E-09    -0.50      0.0   10.41000.  5 A IN
H3+         HF                      H2F+        H2                                  1.20E-08    -0.50      0.0   10.41000.  5 A IN
OH          F                       HF          O                                   1.60E-10     0.00      0.0   10.  300.  5 B NN
H2          F                       HF          H                                   1.00E-10     0.00    400.0  160.  765.  5 A NN
C           C3H2                    C4H         H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C3H3+       E-                      C3H2        H                                   7.00E-07    -0.50      0.0   10.  300.  5 B DR
HCO+        HCOOH                   HCOOH2+     CO                                  1.80E-09    -0.50      0.0   10.41000.  5 A IN
H3+         HCOOH                   HCO+        H2O         H2                      4.30E-09    -0.50      0.0   10.41000.  5 A IN
H3+         HCOOH                   H3O+        CO          H2                      1.80E-09    -0.50      0.0   10.41000.  5 A IN
HCOOH2+     E-                      HCOOH       H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
H2          C                       CH2                                             1.00E-17     0.00      0.0   10.  300.  5 C RA
H2                                  H2+         E-                                  1.20E-17     0.00      0.0   10.41000.  1 C CP
H2          CH3+                    CH5+                                            1.30E-14    -1.00      0.0   10.  300.  5 C RA
C           CH3+                    C2H+        H2                                  1.20E-09     0.00      0.0   10.41000.  5 C IN
H3+         O                       OH+         H2                                  8.40E-10     0.00      0.0   10.41000.  5 B IN
H3+         C                       CH+         H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
C           C2H3+                   C3H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C4H2+                   C5+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           NO                      CN          O                                   6.00E-11    -0.16      0.0   10.41000.  5 A NN
C           C2O                     C2          CO                                  2.00E-10     0.00      0.0   10.  300.  5 C NN
N           CN                      N2          C                                   3.00E-10     0.00      0.0  298. 2500.  5 C NN
N           C3                      CN          C2                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
H3O+        C3                      C3H+        H2O                                 2.00E-09     0.00      0.0   10.41000.  5 C IN
H+          C3                      C3+         H                                   4.00E-09     0.00      0.0   10.41000.  5 C CE
He+         C3                      C2          C+          He                      2.00E-09     0.00      0.0   10.41000.  5 C IN
HCO+        C3                      C3H+        CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
N           C2O                     CN          CO                                  5.50E-10     0.00      0.0   10.  300.  5 C NN
H2          He+                     He          H2+                                 7.20E-15     0.00      0.0   10.  300.  5 C CE
H3+         O                       H2O+        H                                   3.60E-10     0.00      0.0   10.41000.  5 B IN
N           C2                      CN          C                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
C           C2N                     C2          CN                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C2H                     C2N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
C           NO                      CO          N                                   9.00E-11     0.00      0.0  300.41000.  5 A NN
C           OCN                     CO          CN                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
H2          C2H2+                   C2H4+                                           2.34E-14    -1.50      0.0   10.  300.  5 A RA
O           C2H3+                   HC2O+       H2                                  8.50E-11     0.00      0.0   10.41000.  5 B IN
C2H3+       E-                      C2H         H           H                       2.95E-07    -0.84      0.0   50. 1000.  5 A DR
H3O+        E-                      OH          H2                                  6.02E-08    -0.50      0.0   10. 1000.  5 A DR
O           CH5+                    H3O+        CH2                                 2.20E-10     0.00      0.0   10.41000.  5 A IN
H2          C4+                     C4H+        H                                   3.00E-10     0.00      0.0   10.41000.  5 A IN
C           C3H2+                   C4H+        H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           H2C3H+                  C4H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H3+                   C4H+        H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C4H2+                   C5H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
O           C4H2+                   C3H2+       CO                                  1.08E-10     0.00      0.0   10.41000.  5 B IN
N           C4H2+                   C3H+        HCN                                 1.71E-10     0.00      0.0   10.41000.  5 B IN
C           H2C3H+                  C4H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C3H3+                   C4H2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
HCO+        E-                      CO          H                                   2.40E-07    -0.69      0.0   10.  300.  5 A DR
H2CO+       E-                      CO          H           H                       5.00E-07    -0.50      0.0   10.  300.  5 C DR
C5H+        E-                      C4H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C10+        E-                      C8          C2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C10+        E-                      C9          C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C4H2+       E-                      C4H         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3+        E-                      CH          H2                                  1.95E-07    -0.50      0.0   10.  300.  5 A DR
C2H3+       E-                      C2H2        H                                   1.45E-07    -0.84      0.0   50. 1000.  5 A DR
CH5+        E-                      CH3         H           H                       1.96E-07    -0.52      0.0   10.  300.  5 A DR
HC2O+       E-                      C2H         O                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
HC2O+       E-                      CO          C           H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3+        E-                      CH          H           H                       2.00E-07    -0.40      0.0   10. 1000.  5 A DR
C6H2+       E-                      C6          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C6H2+       E-                      C6H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C5H+        E-                      C5          H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
C2NH+       E-                      C2N         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
HC2O+       E-                      C2O         H                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
HC2O+       E-                      CO          CH                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
H2CO+       E-                      HCO         H                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        E-                      O           H2          H                       5.60E-09    -0.50      0.0   10. 1000.  5 A DR
C7H+        E-                      C6H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C7H+        E-                      C7          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C3H2+       E-                      C3H         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
HC3O+       E-                      C3O         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3+        E-                      CH2         H                                   7.75E-08    -0.50      0.0   10.  300.  5 A DR
C8H2+       E-                      C8          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C8H2+       E-                      C8H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H2NC+       E-                      HNC         H                                   1.80E-07    -0.50      0.0   10.  300.  5 C DR
H2C5N+      E-                      C5N         H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2C5N+      E-                      HC5N        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2H4+       E-                      C2H2        H           H                       3.70E-07    -0.76      0.0   10.  300.  5 C DR
CH5+        E-                      CH2         H2          H                       4.76E-08    -0.52      0.0   10.  300.  5 A DR
He                                  He+         E-                                  6.50E-18     0.00      0.0   10.41000.  1 C CP
C                                   C+          E-                                  1.30E-17     0.00    255.0   10.41000.  2 C CR
C           C3H2+                   C4+         H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C2H4+                   C3H2+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
H2          C3H+                    C3H2+       H                                   5.20E-12     0.00      0.0   10.  300.  5 A IN
N           C5H+                    C5N+        H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
H2          C5+                     C5H+        H                                   6.20E-10     0.00      0.0   10.41000.  5 A IN
H2          C6+                     C6H+        H                                   5.40E-11     0.00      0.0   10.41000.  5 A IN
H2          He+                     He          H+          H                       3.70E-14     0.00     35.0   10.  300.  5 C IN
H2          C+                      CH2+                                            4.00E-16    -0.20      0.0   10.  300.  5 C RA
C+          S                       S+          C                                   1.50E-09     0.00      0.0   10.41000.  5 C CE
C+          Fe                      Fe+         C                                   2.60E-09     0.00      0.0   10.41000.  5 C CE
C+          Si                      Si+         C                                   2.10E-09     0.00      0.0   10.41000.  5 C CE
C+          C2H                     C3+         H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C+          CH2                     C2H+        H                                   5.20E-10     0.00      0.0   10.41000.  5 C IN
C+          CH2                     CH2+        C                                   5.20E-10     0.00      0.0   10.41000.  5 C CE
C+          Mg                      Mg+         C                                   1.10E-09     0.00      0.0   10.41000.  5 C CE
C+          Na                      Na+         C                                   1.10E-09     0.00      0.0   10.41000.  5 C CE
H2+         He                      HeH+        H                                   1.30E-10     0.00      0.0   10.41000.  5 A IN
H2          HeH+                    He          H3+                                 1.50E-09     0.00      0.0   10.41000.  5 A IN
H+          S                       S+          H                                   1.30E-09     0.00      0.0   10.41000.  5 C CE
H+          Fe                      Fe+         H                                   7.40E-09     0.00      0.0   10.41000.  5 C CE
H+          CH2                     CH+         H2                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
H+          CH2                     CH2+        H                                   1.40E-09     0.00      0.0   10.41000.  5 C CE
H+          CH                      CH+         H                                   1.90E-09    -0.50      0.0   10.41000.  5 C CE
H+          OH                      OH+         H                                   2.10E-09    -0.50      0.0   10.41000.  5 C CE
H+          C2H                     C2+         H2                                  1.50E-09     0.00      0.0   10.41000.  5 C IN
H+          C2H                     C2H+        H                                   1.50E-09     0.00      0.0   10.41000.  5 C CE
H+          HCO                     CO+         H2                                  9.40E-10    -0.50      0.0   10.41000.  5 C IN
H+          HCO                     CO          H2+                                 9.40E-10    -0.50      0.0   10.41000.  5 C IN
H+          HCO                     HCO+        H                                   9.40E-10    -0.50      0.0   10.41000.  5 C CE
H+          Mg                      Mg+         H                                   1.10E-09     0.00      0.0   10.41000.  5 C CE
H+          P                       P+          H                                   1.00E-09     0.00      0.0   10.  300.  5 C CE
H+          Si                      Si+         H                                   9.90E-10     0.00      0.0   10.41000.  5 C CE
H+          C2                      C2+         H                                   3.10E-09     0.00      0.0   10.41000.  5 C CE
H2                                  H+          H           E-                      2.20E-19     0.00      0.0   10.41000.  1 C CP
H2          CO+                     HCO+        H                                   7.50E-10     0.00      0.0   10.41000.  5 A IN
H2          CO+                     HOC+        H                                   7.50E-10     0.00      0.0   10.41000.  5 A IN
CH+         O                       CO+         H                                   3.50E-10     0.00      0.0   10.41000.  5 A IN
C+          OH                      CO+         H                                   7.70E-10    -0.50      0.0   10.41000.  5 C IN
He+         HCO                     CO+         He          H                       4.90E-10    -0.50      0.0   10.41000.  5 C IN
C           O2+                     CO+         O                                   5.20E-11     0.00      0.0   10.41000.  5 C IN
C+          OCN                     CO+         CN                                  3.80E-09     0.00      0.0   10.41000.  5 C IN
O           HCO2+                   O2          HCO+                                1.00E-09     0.00      0.0   10.41000.  5 C IN
C           HCO2+                   CO2         CH+                                 1.00E-09     0.00      0.0   10.41000.  5 C IN
OH          HCO+                    HCO2+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
H2          CO2+                    HCO2+       H                                   9.50E-10     0.00      0.0   10.41000.  5 A IN
O           C4                      C3          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C4                      C3          CN                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C3H                     C4          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C6H2+                   C7+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C6H2+                   C7H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
H2          C6H+                    C6H2+       H                                   1.30E-12     0.00      0.0   10.41000.  5 A IN
C           C5H                     C6          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
O           C5H                     C4H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
O           C6H                     C5H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
C           C7H+                    C8+         H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
N           C7H+                    C7N+        H                                   2.00E-10     0.00      0.0   10.41000.  5 C IN
H2          C7+                     C7H+        H                                   1.90E-10     0.00      0.0   10.  300.  5 C IN
O           C6                      C5          CO                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
N           C6                      CN          C5                                  1.00E-10     0.00      0.0   10.  300.  5 C NN
H2          C3H+                    H2C3H+                                          1.69E-12    -1.00      0.0   10.  300.  5 A RA
C           C2H4+                   H2C3H+      H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C2H2                    C3          H2                                  1.45E-10    -0.12      0.0   10.  300.  5 C NN
C           C2H2                    C3H         H                                   1.45E-10    -0.12      0.0   15.  300.  5 A NN
O           C3H3+                   HCO+        C2H2                                2.00E-10     0.00      0.0   10.41000.  5 C IN
C           CH3                     C2H2        H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
C           C8H2+                   C9+         H2                                  5.00E-10     0.00      0.0   10.  300.  5 C IN
C           C8H2+                   C9H+        H                                   5.00E-10     0.00      0.0   10.  300.  5 C IN
H2          C8H+                    C8H2+       H                                   1.00E-09     0.00      0.0   10.  300.  5 C IN
C           C7H                     C8          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
O           C7H                     C6H         CO                                  1.70E-11     0.00      0.0   10.  300.  5 C NN
H2          HOC+                    HCO+        H2                                  3.80E-10     0.00      0.0   20.41000.  5 B CD
CH3+        O                       H2CO+       H                                   4.00E-11     0.00      0.0   10.41000.  5 A IN
H2          F+                      H2+         F                                   6.24E-10     0.00      0.0   10.41000.  5 A IN
H2F+        E-                      H2          F                                   3.50E-07    -0.50      0.0   10.  300.  5 B DR
CF+         E-                      C           F                                   5.20E-08    -0.80      0.0   10.  300.  5 B DR
HCNH+       E-                      HCN         H                                   9.50E-08    -0.65      0.0   10.  300.  5 A DR
HCNH+       E-                      HNC         H                                   9.50E-08    -0.65      0.0   10.  300.  5 A DR
HCNH+       E-                      CN          H           H                       9.30E-08    -0.65      0.0   10.  300.  5 A DR
N           C4H2+                   HCNH+       C3                                  9.50E-12     0.00      0.0   10.41000.  5 B IN
